,category,name,subs_last30d_count,views_last30d_count
339,,5 DAKİKADA HALLET,333906 ,69094500
340,Entertainment,Cumicumi,192862 ,98880900
341,Tech,Quantum Tech HD,358824 ,0
342,Entertainment,atv,104736 ,78847500
343,,3ater Alsham عطر الشام,0 ,54836100
344,Entertainment,Yurizando,83370 ,1970610
345,,Phim HOT TK-L,101037 ,90257400
346,,MBC Little Big Stars نجوم صغار,453099 ,72439678
347,Entertainment,HikakinTV,68584 ,77025000
348,News,News Tak,382749 ,73399800
349,,Jaeguchi,184939 ,85169400
350,Entertainment,Nina Twin Kids,0 ,59182800
351,Music,Poll Production,64097 ,72571800
352,Music,Wish 107.5,183289 ,75739800
353,Entertainment,FamousTubeKIDS,118078 ,69193800
354,Games,AuthenticGames,264311 ,80005800
355,,Hit Movie,103428 ,-459780
356,Entertainment,KN Channel,66213 ,83838300
357,Entertainment,NightcoreZodiac,1692 ,174677400
358,People,Смотри как я (Watch Me),220658 ,75543000
359,Film,AD-WISE MEDIA ACTION MOVIEPLEX,285242  ,56761200
360,,SelectFlix,210425 ,36476178
361,Music,FitDance,184495 ,76110000
362,People,Cole&Sav,220242 ,76502700
363,Entertainment,Maya and Mary - Nursery Rhymes & Songs,1120847 ,87427800
364,Music,Ceylin - H Official,218415 ,79683900
365,Comedy,Kaykai Salaider,338193 ,61267200
366,Comedy,Morgz,519727 ,0
367,People,Gemma ND,13256 ,4773510
368,Animals,Louie The Beagle,321969 ,82658700
369,Education,Sevimli Dostlar,118281 ,74686800
370,Film,Camarroket,265925 ,82564500
371,,Cartoon Animals,326178 ,67138500
372,People,Hamtaro Gasa,109795 ,78420900
373,Education,AwesomeToySurprises,0 ,50293500
374,People,TeluguOne,124077 ,73418700
375,Entertainment,AP International,136144 ,71454300
376,People,Kan & Aki's…,47591 ,74566800
377,,102 TUBE,0 ,61027200
378,Film,Söz Dizi,128590 ,83351700
379,Education,Toys Kids TV,236237 ,67431000
380,Entertainment,UTKU CEM,-1888 ,-430470
381,Entertainment,Atta Halilintar,1010424 ,86858700
382,,DenLion TV,185927 ,63243300
383,Entertainment,Calon Sarjana,407707 ,81062700
384,Entertainment,mallemalatv,134875 ,73008600
385,Games,MessYourself,212653 ,60985800
386,Film,Cantece Gradinita .ro,147568 ,71280900
387,Travel,Travel Thirsty,242089 ,81421800
388,Film,icanrockyourworld,228721 ,69094500
389,Entertainment,Kids Club TV & Nursery Rhymes Songs,184390 ,51570600
390,Film,Toys and Fun,94290 ,72108000
391,Education,Panzay Crianza,101033 ,33410400
392,People,TV Ana Emilia,339820 ,84683700
393,Music,O Reino das Crianças,158370 ,81305700
394,Entertainment,Play TOP,154564 ,8155950
395,People,SHOPEE Indonesia,89237 ,64769100
396,Music,acdcVEVO,-9894 ,73688400
397,Games,Ali-A,167474 ,68214000
398,People,Zara Cute,91889 ,70228500
399,Music,GunsNRosesVEVO,-15228 ,74744400
400,Comedy,JRE Clips,160592 ,73646100 
401,,Banana Bee,2332169 ,771085619
402,Howto,Vy Qwaint,342841 ,74235000
403,Entertainment,Neo-Saban Power Rangers, 112770 ,67751400
404,Film,Goldmines Housefull,306784 ,68999400
405,,Anupam Movie Songs,152366 ,69177600
406,Entertainment,Facts Verse,212428 ,69436800
407,Games,Sony Music South,0 ,69605100
408,Music,Tonmai Music & Studio,196519 ,78156600
409,Shows,EBS Kids,50707 ,64144200
410,Film,Masha y el Oso,211631 ,68367600
411,Sports,CliveNBAParody,55648 ,56925000
412,Entertainment,TinyLessonTime,193239 ,53598000
413,News,News18 India,303223 ,50891100
414,Music,WisinYYandelVEVO,-6710 ,53147700
415,Film,DisneyJuniorIT,108191 ,56665200
416,Sports,FutParódias,279999 ,69982500
417,Entertainment,Луномосик,144489 ,70817100
418,Music,Natti Natasha,208161 ,43142400
419,Film,Мувики.рф — сцены из…,163657 ,63975600
420,Film,Ocean Media Entertainment,3308 ,86970
421,Entertainment,Говорящий Том и Друзья,214065 ,69514200
422,,Chespirito y sus Amigos,137182 ,69788700
423,Entertainment,AdMe.ru - Сайт о творчестве,404553 ,71314500
424,Music,Sing Music Channel,158816 ,70508700
425,Entertainment,Marianela González FanClub,266277 ,90697500
426,Games,DakPlay,140698 ,69381000
427,,KHƯƠNG DỪA CHANNEL,179059 ,73696200
428,Entertainment,Ricis Official,598434 ,72550200
429,Film,Crime Files,211850 ,79234200
430,Entertainment,MY FINGER FAMILY RHYMES,269478 ,67879500
431,,"SLICK SLIME SAM - DIY, Comedy, Science for…",234400 ,94838100
432,Education,FunToysMedia,112608 ,66376800
433,Music,CalumScottVEVO,-7784 ,68746800
434,Entertainment,BollywoodKilla,136371 ,37086300
435,Film,Tiffany & Co.,6198 ,18621300
436,Music,Gold Coast Music,88467 ,68584200
437,Entertainment,Bely y Beto Oficial,166920 ,64475400
438,People,Filmi Jhankar,0 ,-809154000
439,Entertainment,Happy Funny Kids Toys Pretend Play,0 ,77476200
440,,CricketWicket,2526 ,-29940510
441,Comedy,Na CorreRia,152482 ,58708500
442,Entertainment,Camila Loures,367858 ,55896300
443,Comedy,Beşiktaş Kültür Merkezi (BKM),66203 ,63416100
444,,人間ちゃんねる,-811 ,30450211
445,Music,SamSmithWorldVEVO,-17730 ,65181900
446,Games,WhenGamersFail ► Lyon,69258 ,68904900
447,Music,MundoBitaVEVO,47332 ,64479000
448,News,b788888888,-68 ,30305400
449,Film,Boram Tube [보람튜브],139862 ,54553200
450,Music,Lil Peep,219014 ,71367000
451,,benny blanco,61924 ,69942600
452,Entertainment,Yippee Toys,193053 ,70607400
453,Entertainment,Toy Genie Surprises - Learning Videos for…,175701 ,66403200
454,Games,Baby Home TV,0 , 157127400
455,Music,Trimurti,144970 ,60947700
456,,WOA LuKa Channel,186148 ,56624400
457,Film,Goldmines Premiere,248639 ,58788600
458,People,HiHo Kids,109060 ,46431000
459,Film,Dima Kids TV,130402 ,60074700
460,Film,Лунтик,88123 ,66166500
461,Entertainment,Carter Sharer,288259 ,47494800
462,Music,Cat Music,96133 ,61112100
463,News,ABS-CBN News,153375 ,68710500
464,Entertainment,ZENSE Entertainment,138663 ,60919200
465,Entertainment,TRT Çocuk,116057 ,63974100
466,People,Voot Kids,152607 ,57732600
467,Entertainment,REACT,153064 ,69348000
468,Film,عائلة عمر,96067 ,61305300
469,Autos,Ανδρέας Γεωργίου TV,7753 ,6604470
470,Film,Oddbods - Official Channel,109412 ,58110900
471,Music,WhamVEVO,-1592 ,47043000
472,People,Robby,457168 ,62958900
473,Film,Cleo & Cuquín - Familia Telerín,90313 ,77825100
474,People,That YouTub3 Family,152857 ,70896900
475,Music,Wave Music - Bhakti,134760 ,57162300
476,,Kia Motors India,4490 ,33082200
477,Entertainment,MY TOYS PINK,97917 ,58764600
478,Entertainment,浙江卫视音乐频道 ZJSTV Music Channel…,37814 ,60195000
479,Film,Popular Diginet Movies,325213 ,75576000
480,Film,Mundo Bita,89902 ,64929300
481,People,super Jhankar,0 ,49288500
482,Entertainment,Новий Канал,88797 ,59945400
483,Comedy,The Daily Show with Trevor Noah,140670 ,55236900
484,Entertainment,Vivo,90089 ,40972200
485,People,TinkiPinki,136  ,28799310
486,Music,Rathore Cassettes,142825 ,68215200
487,,PinkyPopTOY,176842 ,56792400
488,Music,Shree Jee - Bhakti,325124 ,62538600
489,Comedy,Jonatan Santos,52948 ,32550000
490,Entertainment,Bhavani HD Movies,133404 ,51949500
491,Tech,Apple,159613 ,47992800
492,Music,Gallina Pintadita,131226 ,60284100
493,Entertainment,MrAdriboy123,-40 ,28510920
494,Entertainment,日テレ公式チャンネル,54337 ,45283500
495,Music,EllaMaiVEVO,-2548 ,73715100
496,Entertainment,Entertainment Access,167091 ,74035200
497,People,Saas Bahu Aur Betiyaan,122718 ,56737500
498,Howto,NINJA HATTORI,217352 ,60884700
499,,CamilaCabelloVEVO,-34875 ,62183700
500,,Kızım,166082 ,79794000
501,Games,Kwebbelkop,135472 ,57616500
502,,Dailyhunt,1402 ,61680600
503,Games,Ceeday,443540 ,58686300
504,Animals,nature1upclose,-174 ,27926520
505,Entertainment,BollywoodSongs24/7,107584 ,48434400
506,Entertainment,Ghiền Mì Gõ,102226 , 59245800
507,Games,Sub,374356 ,66074400
508,Music,Guitar Record Official,114665 ,37375800
509,,Bouncing Baby TV,286098 ,-88193100
510,,Lâm Vlog,209419 ,60723300
511,,La Rosa Hd,164948 ,66480900
512,Education,Grammarly,1513 ,63591900
513,People,Yeni Gelin,69903 ,89421900
514,Entertainment,Toy Art,219930 ,66704400
515,Entertainment,YEAH1TV,87613 ,42722700
516,,Candy Play TV Russian,240513 ,71342700
517,People,Daily Bumps,94469 ,63196800
